text,user,location
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",theotherhaleyb,
RT @VicGovDHHS: We need to understand more about #COVID19 in Victoria. Testing is available at many places across Victoria. To find a testi…,APPRISE_CRE,Australia
"RT @alondra: ‘We Are Not Essential. We Are Sacrificial.’
I’m a New York City subway conductor. At least 98 of my co-workers have died of Co…",yerrowb,"Vancouver, British Columbia"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,badmom70,"Florida, USA"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",francesahen,"Costa Mesa, CA"
"12 great nature documentaries and movies to watch according to ⁦@RottenTomatoes⁩! Now you have an excuse to not start that home gym just yet.

#boredathome #science #distancelearning #coronavirus #covid-19 #whattowatch #wildlife  https://t.co/tozoGdEl0u",ExtinctCrisis,San Francisco Bay Area 
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",Ozi_Prodigy,
"RT @CherylMorrisW: #Coronavirus 🦠: Global experts say #NZ 🇳🇿 Government best in world at #COVIDー19 communication
https://t.co/iOyGaLUllN",TikaSport,
"RT @msdh: Today MSDH is reporting 330 new cases of COVID-19 in Mississippi, with 32 new deaths. The total of #coronavirus cases since March…",erinpickensWAPT,"Jackson, MS"
"RT @karol: Nursing homes in NY were forced to admit patients who had tested positive, or who were suspected of having, COVID-19. How is thi…",Harrowdown2018,United States
"https://t.co/gQCP0OZqfD How To Keep the World Free From China After Coronavirus The global pandemic demonstrated the catastrophic consequences of leaving Beijing unchecked. Just as we need a vaccine to deal with COVID-19, we need a prophylaxis to deal with a belligerent, ... https://t.co/q10ULzqT3K",reality415,"Taichung City, Taiwan"
RT @IngrahamAngle: Gates should run for president.  He wants to run your lives...New York will work with the Gates Foundation to develop a…,tommylowens1,
RT @hahaguma: Japan's work culture keeps many employees at the office despite COVID-19 | CBC News https://t.co/wfH8uPSfUc,kenney1123,Yokohama Japan
RT @jaywankhadejrw: An army personnel stands guards as gifts are being distributed to medical staff at a children hospital as a tribute to…,TANMOYBOURI3,
"RT @GregAbbott_TX: Open Texas continues as Hair and Nail Salons can open on May 8 and Gyms can open on May 18. 

That and more announced to…",RealpolitikDAC,United States
RT @LeslynLewis: Any serious Canadian politician and candidate should be calling for a review of our relationship with China post COVID-19.…,RonMacIsaac1,
"RT @CBSNews: 3 USDA meat inspectors dead, about 145 diagnosed with COVID-19 https://t.co/UuUtN7JIlB https://t.co/AQtAzHMxuh",YURITZA_ARROYO,"San Juan, PR"
Utility disconnects for nonpayment suspended in Kansas until May 31 https://t.co/iP4mTkZKq2,kmbc,"Kansas City, MO"
Coronavirus: 'I'm on benefits and self-isolating - it's costly to be trapped in your own home' | inews https://t.co/Q49q7ARkHp,Hephaestus7,Canada
"RT @KariLakeFox10: Turkey has the biggest CV outbreak in the Middle East, but relatively few deaths. 
Their coronavirus response that spare…",soniccisco,
"RT @MaddowBlog: ""More than 1,600 workers at four Iowa meatpacking plants have been infected with the coronavirus, state health officials re…",politeperson123,
"COVID-19 CORONAVIRUS PANDEMIC

Last updated: May 06, 2020, 01:41 GMT

Coronavirus Cases:

3,726,704

Deaths:

258,295

Recovered:

1,241,924",Uswar5,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",dentor1980,
RT @ReddieNews: 'It will look different': Companies warn COVID-19 will change Sydney's CBD forever https://t.co/G9mEoMhQqZ,benjnielsen,Kaurna country
"RT @OrgIAC: BBC News - Coronavirus by air: The spread of Covid-19 in the Middle East 
Mahan Air ran hundreds of flights to and from #Iran,…",SadeghiAllen,"California, USA"
RT @otvnews: The fresh #COVID19 death in #Odisha reported from Khurda district. The State had reported its first COVID-19 fatality on April…,DebajaniMohapa1,"Orissa, India"
"RT @DykeVanTom: @TomBoyOptional @transparency_a1 @althecat where do you get your news, bro?

I'm serious

I mean, don't they tell you this…",DonnaKC6,The Great Pacific NW
"RT @USArmyReserve: Medical personnel from the #USArmyReserve join @TempleUniv Hospital in the fight against #COVID19. 

Read more: https://…",Pipes2494,
Woman living in her car brings sandwiches to the homeless in Houston. #UnitedStates #Houston #Homeless #Coronavirus #COVID19 #COVID_19 #CoronavirusPandemic https://t.co/hRGBEe94kb,TPE_connect,online
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",geraldinegirljp,"California, USA"
"RT @flm22: UNFREAKING believable. The President of Tanzania BUSTED out WHO/FAUCI/BIRX/GATES/CHINA CoronaVirus test kits.
Smart smart man.
H…",diana102252,
"@OliviaRubinABC @KFaulders 
Top federal scientist files whistleblower complaint, raises number of concerns about admin response to COVID-19
https://t.co/7muxdYKfrB",MoBetterNews,
"#coronavirus: Trouble on the #China #Russia Border

China closed its border to prevent imported cases from Russia. Now Russians fear a surge in infections from stranded Chinese travellers.

https://t.co/JTvGDGA8Q4",IndoPac_Info,South East Asia
"RT @alondra: ‘We Are Not Essential. We Are Sacrificial.’
I’m a New York City subway conductor. At least 98 of my co-workers have died of Co…",elevate67,
RT @FOXBaltimore: NEW: The family of a cruise crew member who died after testing positive for COVID-19 filed a lawsuit against Royal Caribb…,MRichWJLA,Most likely in the Newsroom 
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,inzanelaw,"Washington, USA"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,JoAnnMom2,"California, USA"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",trishtra3,"Pennsylvania, USA"
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",surge4earth,
"BBC News - Coronavirus: I watched the president reveal I had Covid-19 on TV
https://t.co/jmaHfctfyU",GroemeA,Mauritius
RT @IngrahamAngle: Gates should run for president.  He wants to run your lives...New York will work with the Gates Foundation to develop a…,draintheswamp55,
A patient hospitalized with flu-like symptoms at the end of December in France turned out to have had Covid-19 https://t.co/WwsxRrcS7m via #bpolitics #FRANCE #ALGERIA,RichFM39517086,"Laguna Beach, Ca"
"RT @ad81109: Thousands of ""Dreamers"" are health care workers on the front lines – but fear they could soon face deportation.  They love Ame…",a_donna,
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",B_blackbird2019,
RT @KenRoth: The coronavirus pandemic was an opportunity for the Hong Kong government to rededicate itself to serving the Hong Kong people.…,zilbelladure,
RT @Alex_Panetta: I talked to a few epidemiologists and went over datasets and papers to try answering a question lots of Canadians have be…,a_picazo,Canada
RT @StayOregon: They are out there for you. Stay home for them. Stay home. Save lives. #oregon #portland #covid-19 #coronavirus #health htt…,CeroTerabyte,
RT @htTweets: PM Modi chaired a meeting of the task force on #coronavirus vaccine development and took a detailed review of the current sta…,muditaa001,mumbai
"RT @tribelaw: FEMA now projects 200,000 new coronavirus cases a day by the end of the month (it’s now about 25,000 new cases a day), and by…",BDBgoldens3,
"RT @DoctorEmto: The new stigmatization in town might be ""don't marry from that family, someone died of Coronavirus""...

I know some African…",tickles1759,"UK, Nigeria"
"RT @SysArch: If anyone thinks once the summer hits coronavirus is gone, they need to look at tropical countries like India, where the Temps…",YMarieCarter,
"@ktivnews: Iowa governor says as tests increase, the number of positive #COVID19 cases will also increase || https://t.co/aJ3UEyUk99 

#ForMoreNEWS╰▶ #IOWA #Coronavirus ✔️",jjstoneFMnews,"Iowa, USA"
"RT @LorraineDWilke: Yes, because as toddlers know, if you close your eyes and don't look at something, it doesn't actually exist...🙄State h…",lorirae62,"🌵Phoenix, LD18/CD9 PHX Dist 6"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",MegMac33192437,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",HoganJosie,"None of your business, U.S.A."
"@dpfdpf Would you rather have a death and illness rate like Sweden? Death &amp; illness are expensive too. Sweden population 10.23 million. NZ population 4.883 million. Sweden has 23,216 Covid-19 cases. 2,854 deaths.  NZ 1,488 cases. 21 deaths. https://t.co/CQScODW15Z",goldmedalfamous,"Based in Wellington/Dunedin, NZ"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",LAdirtyword,
"RT @ABCWorldNews: GERM ATTACK: Police in Holly, Michigan, are asking the public to identify this assault suspect caught on camera wiping hi…",amnjpr,"Hell, MI"
"State health department tells university COVID-19 modeling team to stop work, limits data access https://t.co/oWbjuvpUA6 via @azcentral",AZ_Parent,
"RT @WSJ: “Brazil is already the global epicenter of the coronavirus."" One study concludes the country might have more Covid-19 cases than t…",RoberthBento5,Cachoeiro de Itapemirim
RT @thehill: Trump ready to turn page on coronavirus despite crisis-level cases https://t.co/AXS60uD7ku https://t.co/sqtp1fCYd5,lbpyyz,"Toronto, Ontario"
RT @TIME: Dermatologists around the world are gathering data on what may be largely overlooked symptoms of COVID-19: skin conditions rangin…,partyofthepeopl,Twitter Wars of 2016 & Beyond
Like I said before Trump is all about profiteering and he does not care how many people die if you have not woken up to this fact then be prepared to die alongside your family of the coronavirus. Whistleblower slams US response https://t.co/kNzOBgpAqR,TinaPar70764063,
"RT @mvmeet: Due to Smriti Irani's hard work, Amethi had ZERO coronavirus cases

But days back, Priyanka Vadra illegally moved 72 migrant wo…",Redsun1947,
"RT @wsvn: As Florida slowly reopens, officials are now contemplating what they should do if the coronavirus outbreak lingers into hurricane…",calypso_junji,日本 神奈
RT @WSJ: “Brazil is already the global epicenter of the coronavirus.” One study concludes the country might have more Covid-19 cases than t…,danielsouza,"London, England"
Coronavirus: Nurse Aimee O'Rourke dies after Covid-19 diagnosis - BBC News https://t.co/OYubWO3sGW,Clarenc68924032,United States
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",scarymom76,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",mrliam,Front Range Rocky Mountains
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,justice_healing,"California, USA"
RT @BetoORourke: Texas law says you can request a mail-in ballot if you have a physical condition that could cause injury by voting in pers…,Reneami50020561,"Kentucky, USA"
"RT @FOX13News: FDNY paramedic Christell Cadet had been in a coma for almost a month battling COVID-19. ""She spent 28 days on life support a…",jafrakellie,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",SSubsides,"Berlin, Germany"
"RT @alondra: ‘We Are Not Essential. We Are Sacrificial.’
I’m a New York City subway conductor. At least 98 of my co-workers have died of Co…",vertigo49,
"AZ State health department tells university COVID-19 modeling team to stop work, limits data access https://t.co/TnQ5ZjFLCb via @azcentral",jeffgoldesq,
COVID-19 CORONAVIRUS DISEASE PANDEMIC / COVID-19 OUTBREAK IN TURKEY: https://t.co/gHtbWzndKj,FrancisWasHere,"Durham, England, UK, EU till I die."
"RT @cnni: The virus that causes Covid-19 has been circulating in people since late last year, and must have spread extremely quickly after…",hussain1968,
"RT @denise_tsang: Bars, gyms and other venues to reopen as Hong Kong eases Covid-19 shutdown https://t.co/m5kQ12vFUI via @scmpnews",tohhanshih,
"RT @htTweets: US, UK begin talks to launch free trade agreement to restart economy

#COVID19 

Follow updates:https://t.co/jZSih3qsvz https…",muditaa001,mumbai
RT @TODAYshow: 15 kids hospitalized with mysterious illness possibly tied to COVID-19 https://t.co/Tk55PkZOnM,Dardagirl,
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,HarperiteBGone,
RT @IngrahamAngle: Gates should run for president.  He wants to run your lives...New York will work with the Gates Foundation to develop a…,rickcuellar,
"RT @GregAbbott_TX: Open Texas continues as Hair and Nail Salons can open on May 8 and Gyms can open on May 18. 

That and more announced to…",TheSculptorCEO,Austin Texas 
RT @evankirstel: Cancer and the Coronavirus: Trying to Survive a Pandemic https://t.co/svetz78x14 @IrmaRaste @eViRaHealth #COVID19 #Covid_1…,emmamaryokolie,Lagos
"RT @WebMD: Growing evidence shows that COVID-19 can affect almost every organ, including the skin. What we know so far about the new corona…",EastwoodPark1,St. Andrew
"#Coronavirus 🦠: Global experts say #NZ 🇳🇿 Government best in world at #COVIDー19 communication
https://t.co/iOyGaLUllN",CherylMorrisW,"San Francisco, CA"
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",kirkmurphy,
"RT @glyndebourne: We are very sad to announce that Festival 2020 has been cancelled due to COVID-19.

Read a statement from our Executive C…",ciurlionis,日本
RT @TODAYshow: 15 kids hospitalized with mysterious illness possibly tied to COVID-19 https://t.co/Tk55PkZOnM,BurnsBuLinda91,"Texas, USA"
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",Cjp043,"Sydney, New South Wales"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,apachendeh,"Oregon, USA"
"RT @KevzPolitics: #UPDATE:  Grenada records no additional coronavirus cases. 

5th May 2020 Grenada COVID-19 by the Numbers
Confirmed cases…",RuthyRob25,Jamaica
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,nanniquilts,"Massachusetts, USA"
"US has flattened coronavirus curve, countless Americans have been saved, says Donald Trump | via @IndiaTVNews https://t.co/WcESj55bTl",indiatvnews,India
RT @Justsaytruthnow: Coronavirus In Pittsburgh: Researcher Killed In Apparent Murder-Suicide Was Close To Making Very Significant Findings'…,peepscount,
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,Jguido14,"Kansas City, MO"
Coronavirus Task Force  [washingtonpost] Americans deeply wary of reopening as White House weighs ending  #COVID-19 task force https://t.co/Dkj8m4wAVN,PresshubU,USA
Pilipinas Shell Petroleum Corp. is temporarily shutting down its refinery operations in Batangas for one month to conduct maintenance activities amid the decline in fuel demand due to the coronavirus disease 2019 or COVID-19 pandemic. https://t.co/YeoAy3ZgSE,PhilippineStar,Philippines
"RT @SaludAmerica: #Homelessness is on the rise amid #coronavirus. 
Join our next #SaludTues Tweetchat “How COVID-19 Impacts Homelessness” a…",JillianReganMPH,"Charlottesville, VA"
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",AlonAltman,"California, USA"
RT @apoorva_nyc: Among the most important unanswered questions about Covid-19 is this: What role do children play in keeping the pandemic g…,DrMille26818853,"Escondido, CA"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",mwiddi_Real,
RT @abcnews: Australia's COVID-19 growth factor is back above one — should we be worried? https://t.co/mM1YFtyXOJ,dstoeski,Melbourne
RT @Justsaytruthnow: Coronavirus In Pittsburgh: Researcher Killed In Apparent Murder-Suicide Was Close To Making Very Significant Findings'…,DeborahStoval17,United States
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",flajeffreyt,"Floriduh, USA"
"RT @JoeBiden: The hard truth is that it didn’t have to be this bad. The lack of preparation, the slow response on testing, the failure to a…",shaughnmtm,
RT @ABC7NY: Coronavirus News: Daughter happy to kiss mother again after COVID-19 recovery https://t.co/5WX9tZB7ry https://t.co/3OaRqIcrAW,drocktrot,"Brooklyn, NY (Bed-Stuy)"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,sustainbytrain,"More Trains, USA"
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",beans77,
"RT @WIONews: Israel has made ''significant breakthrough'' in developing an antibody against the deadly coronavirus

https://t.co/dWu4Hl1DQq",souravshakti,"Ranchi, India"
"RT @TheAtlantic: The ICU can often leave patients isolated, confused, and terrified. “No one said anything like that could happen,” one COV…",BethBob2,
"RT @MaddowBlog: ""More than 1,600 workers at four Iowa meatpacking plants have been infected with the coronavirus, state health officials re…",JhdJane,
"RT @RepMattGaetz: MUST-READ: ""'A Trojan Horse Operation': Matt Gaetz Warns Tucker Carlson About Chinese Drones Spying On Americans""

(via @…",claire_mikel,arizona
"RT @brad_dickson: Omaha is number 8 in the nation in ""daily growth of new Covid-19 cases."" https://t.co/8bU3MFKgFE",NebraskaSower,"Lincoln, Nebraska, USA"
"RT @tribelaw: FEMA now projects 200,000 new coronavirus cases a day by the end of the month (it’s now about 25,000 new cases a day), and by…",Needarealprez,"Colorado, USA"
"RT @DixieScott: @Newsweek 70,646+ deaths, 2,000,000+ cases in America. trump is disbanding the coronavirus task force, Covid -19 not even o…",ToferWrites,"Atlanta, GA"
"RT @WSJ: “Brazil is already the global epicenter of the coronavirus."" One study concludes the country might have more Covid-19 cases than t…",lararcn,
"RT @GregAbbott_TX: Open Texas continues as Hair and Nail Salons can open on May 8 and Gyms can open on May 18. 

That and more announced to…",mimiismyname1,
RT @thehill: Trump ready to turn page on coronavirus despite crisis-level cases https://t.co/AXS60uD7ku https://t.co/sqtp1fCYd5,twithappens34,Atlanta
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",BagalueSunab,Jamaica- Trinidad &Tobago
Illness with possible links to COVID-19 now showing in US children https://t.co/IJBlwq7N7A,NewshubNZ,New Zealand
RT @DailyCaller: ‘A Trojan Horse Operation’: Matt Gaetz Warns Tucker Carlson About Chinese Drones Spying On Americans https://t.co/orWl8vfd…,Dawn62536182,
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",macjonesok,"St Louis, MO"
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",charliesoo1984,"Colorado, United States"
RT @VOANews: White House to Wind Down Coronavirus Task Force https://t.co/kUFOB3uRf3 https://t.co/DP9lbMLUBg,jyotsna2964,"New Jersey, USA"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",KaeDee20_20,USA
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,LaurieWalters19,"Georgia, USA"
RT @seattletimes: Scientists have identified a new strain of the coronavirus and appears to be more contagious than the versions that sprea…,RevolutionReina,"Washington, USA"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,Jee_Gypsy_Jae,
"Countries aiming to flatten the #Coronavirus curve have one crucial aim: reduce the “effective reproduction number” of the virus to below 1.
Dr Hassan Vally @latrobe explains how nations that moved fast against #COVID19 avoided disaster. | @PMPmagToday

https://t.co/0G0I1UE03X",PMPmagToday,Politics Means Politics™
"3 USDA meat inspectors dead, about 145 diagnosed with COVID-19 https://t.co/XuokZTiueC via @CBSNews",roller_jon,
RT @IngrahamAngle: Gates should run for president.  He wants to run your lives...New York will work with the Gates Foundation to develop a…,SandyBridgett,"Maryland, USA"
"RT @File411: Called out for tripling price of potential drug for Covid patients, company says increase planned for months 

https://t.co/CC…",lindaco55305818,
"RT @TheEscapade360: In accordance with the state's ongoing shutdown, we'll be closed for the month of May. Please take care of yourselves a…",downtownelgin,"Elgin, IL"
"RT @DMRegister: “Wow, that would be awesome,” said Uniz Ceballos, a Des Moines parent who launched an online petition calling for the distr…",JillVanWoerkom,"Marion County, Iowa"
RT @evankirstel: Around 60% of new infectious diseases come from animals #COVIDー19 #Covid_19 #Coronavirus https://t.co/4hkMHd4N4g,lizette_neves,"Rio de Janeiro, Brasil"
RT @thehill: Trump ready to turn page on coronavirus despite crisis-level cases https://t.co/AXS60uD7ku https://t.co/sqtp1fCYd5,RobertCettl,
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,KWBlack_198,
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",nataliekaszer,
"RT @mymodernmet: Illustrator Mauro Gatti, fed up with bad news, decided to share uplifting news that have come out of COVID-19. https://t.c…",EastOfEpworth,Central Ohio
"RT @NEMCCTigerTalk: In this week’s edition of our coronavirus special Tiger Talk podcast, President @ldytgr1 discusses with host @will_koll…",coachfarris9,
RT @KPIXtv: California Gov. Gavin Newsom had the right to ban church assemblies in the interest of public health during the coronavirus out…,AndazolaThomas,
"RT @jacoblamotta: Maritimers don’t call it COVID-19 or coronavirus, they just say “all this shit that’s going on”",SarahRo97778204,"Digby, Nova Scotia"
"RT @azcentral: JUST IN: The Arizona Department of Health Services told a team of university experts working on COVID-19 modeling to ""pause""…",eturleye,"Arizona, USA"
"RT @alondra: ‘We Are Not Essential. We Are Sacrificial.’
I’m a New York City subway conductor. At least 98 of my co-workers have died of Co…",americonsumer,"Los Angeles, CA"
"RT @mehreenzahra: In photographs, the five men smile or hold their loved ones close. All 50 or older, their friendships ranged over decades…",rmabbasi,Glasgow; Scotland 
"RT @tribelaw: FEMA now projects 200,000 new coronavirus cases a day by the end of the month (it’s now about 25,000 new cases a day), and by…",The_Mr_Mayhem,"Somewhere, out there. "
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,DivaDane14,"Conshohocken, PA"
RT @IngrahamAngle: Gates should run for president.  He wants to run your lives...New York will work with the Gates Foundation to develop a…,Trump4more,USA 🇺🇸 
"No! if you hold your nerve Glady for 28 more days &amp; not be bullied by @scottmorrisonmp might be much sooner 
""..not out of the woods until a vaccine &amp; unfortunately the experts say that could be at least 12 months away."" 
COVID-19 cluster source revealed https://t.co/J1IAY6HACe",AnastasiosManol,Adelaide Australia
"RT @WSJ: Covid-19 is taking workplace surveillance to a higher level, with some employers planning to track movements and gather personal i…",oscarxia1,
"RT @WSJ: “Brazil is already the global epicenter of the coronavirus."" One study concludes the country might have more Covid-19 cases than t…",Regiane52012591,
COVID-19 CORONAVIRUS DISEASE PANDEMIC / COVID-19 OUTBREAK IN TURKEY / (OFTEN UNAVOIDABLE) PROBLEMS OF ACCURACY IN MOST COUNTRIES' OFFICIAL COVID-19 INFECTIONS &amp; FATALITIES DATA: https://t.co/wtNMiteA5y,FrancisWasHere,"Durham, England, UK, EU till I die."
RT @AJENews: Government-backed hackers are attacking healthcare and research institutions in an effort to steal valuable information about…,NihatSerhos,
"RT @Tunnelcat2: FALSE POSITIVE COVID TESTS

GOAT &amp; PIECE OF FRUIT TEST POSITIVE IN TANZANIA!!

A goat &amp; a piece of FRUIT!!
 
WHAT IS REALLY…",bigmack600,
This isn't the last time you'll see this story. Except a bunch more people will be dead then. https://t.co/9BYNHyTU3h,tankgrrl,"02138, Outpost 31 LV-426"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,Nhajor,
"RT @VicGovDHHS: If you have any of the symptoms, however mild, you should seek advice and get tested - we'll learn more of how the virus ha…",vicharbourmed,"Docklands, Melbourne"
"RT @vcstar: The number of deaths did not increase Tuesday, with the county currently tallying 19 fatalities. https://t.co/UPe1LsZsBj",Carbon281,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",MaryJoBateman,"Chicago, IL"
"RT @cnni: The virus that causes Covid-19 has been circulating in people since late last year, and must have spread extremely quickly after…",JovitaValerie,
"COVID-19 CORONAVIRUS PANDEMIC

Last updated: May 06, 2020, 01:41 GMT

Coronavirus Cases:

3,726,704

Deaths:

258,295

Recovered:

1,241,924",niceworldf,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",lilrinnieb,"Illinois, USA"
"RT @DanPriceSeattle: ""your paycheck or your life""

3 Amazon warehouse workers have now died of covid. They don't get paid sick time &amp; have…",bluebludgardenr,"Pilot Knob, MO"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",backroads_linda,
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,humanjet5,
"RT @Kenneth72712993: Great news!

The overall hospitalization rate for confirmed COVID-19 infections is 0.04%.

It's ""much lower"" than seas…",ClemsonColorado,Denver
RT @latimes: Thousands of people have died in California due to the COVID-19 pandemic. These are some of their stories https://t.co/CmyNvQc…,sfnativekelly,"san francisco, ca"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",EmilyRNunn,The Comfort Food Diaries
"RT @MarionRenault: My latest for @TheAtlantic is about an underrecognized and underdiagnosed danger in ICUs: delirium. 

Covid-19 is not on…",reepRN,
"Arizona's governor doing the good hard work hiding the coming #TrumpVirus surge in his state

https://t.co/QTRAKITzti",mondogarage,Colorado
RT @IngrahamAngle: Gates should run for president.  He wants to run your lives...New York will work with the Gates Foundation to develop a…,aladayllc,Traveling the USA 😎✌
"RT @RepMattGaetz: MUST-READ: ""'A Trojan Horse Operation': Matt Gaetz Warns Tucker Carlson About Chinese Drones Spying On Americans""

(via @…",Dawn62536182,
RT @RandPaul: Modern medicine shows us that immunity is based on having antibodies. Why do they think medicine is trying so hard to get a c…,BlossJoseph,
RT @NST_Online: #NSTworld An #Amazon worker at a warehouse in #NewYork where employees called for greater #coronavirus safety measures has…,dyodks,💚
New York reports 15 cases of rare illness in children possibly linked to Covid-19 https://t.co/SkRduMf723,RKMullan,Ireland
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",fromthevalley63,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",JVoteblue2020,"Washington, DC"
"RT @NBCNews: Fmr. Olympian Jenny Thompson, best known as the record-holder for the most Olympic medals won by a female swimmer, joins the f…",Masky_Jay_Hoody,
RT @NYDailyNews: Grim and disturbing videos show at least 20 bodies wrapped in black bags carted out of a Harlem nursing home during the co…,stockholderusa,
"RT @MayorOfLA: Together with @CityAttorneyLA, I'm proud to announce a new initiative, LA Represents, a pro bono program that will provide l…",MiguelSangalang,"Los Angeles, CA"
"RT @RepMattGaetz: MUST-READ: ""'A Trojan Horse Operation': Matt Gaetz Warns Tucker Carlson About Chinese Drones Spying On Americans""

(via @…",Jennie54372440,
Google News - Trump does not wear coronavirus mask at Honeywell factory that makes masks— - who the hell does he think he is? Seriously?  https://t.co/BiE182W8Sg,TheMamusa,"Redneck Riviera, FL panhandle"
"RT @ABC: The demand for nursing home staff has never been higher—but with COVID-19, industry officials admit ""you're asking them to run int…",Masky_Jay_Hoody,
"RT @DMRegister: “Wow, that would be awesome,” said Uniz Ceballos, a Des Moines parent who launched an online petition calling for the distr…",BreakingNewzman,
"Justifying their participation in the fight against the #Coronavirus, the LPHA told journalists that the death rate associated with the virus continues to be on the increase as compared to other the developing countries, and ... #Liberia #CoronavirusMustGo
https://t.co/Xx9OCEusxo",libobserver,"Monrovia, Liberia"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,dfkenney7,Santa Fe New Mexico/ SATex
"UK now has a #AarogyaSetu app. 
The App will save precious lives by tracking the spread of the virus. 
And all data is safe, safer than Google Facebook and the 100s of apps you have on your phone.

https://t.co/XQ1PcZOvpz",shubhos,"New Delhi, India"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,AgentR55072870,"Illinois, USA"
"RT @DrOniBee: Must read about ""How Coronavirus Mutates and Spreads""

The novel coronavirus ""is mutating relatively slowly compared to some…",GoldenRuleHR,"Ontario, Canada"
"RT @HillaryClinton: Upwards of 1,700 Americans are dying every day from COVID-19. 

That number could rise to 3,000 a day by June 1. 

We c…",zeno_carlo,"Sydney,  AU"
"RT @MedscapeObGyn: The Pregnancy Coronavirus Outcomes Registry (PRIORITY) is collecting info on COVID-19 symptoms, clinical course, pregnan…",elizabethregina,
