text,user,location
"Two Incarnate Word Academy students have joined forces with a teacher to produce some much-needed 3D PPE masks for hospitals, clinics and first-responders. 

https://t.co/klMCMesPUg",Action10News,"Corpus Christi, TX"
NEW SYMPTOMS: Doctors in New York City are raising the alarm on a mysterious inflammatory illness in children which may be linked to COVID-19. https://t.co/UROJ0RpDVK,MyStateline,"Rockford, Illinois"
"Global Citizens took over 344,000 actions that put pressure on world leaders to urgently invest in life-saving vaccines.  https://t.co/51mCCZJREs",GlblCtznAU,Australia
Here's a look at what's happening at the Tyson plants across the region and how the spread of COVID-19 is impacting workers and their loved ones. https://t.co/90dB1T2hsI,wqad,Quad Cities
"#Covid19 |  Flexible workspace providers are revamping their operations for the post-#Coronavirus era, opines Raghuvinder Singh Pathania, Head of Operations, @WeWorkIndia: https://t.co/95FCrSZCGj

#COVID19 #Coronavirus #Lockdown https://t.co/Aa3UOCsjft",99acresIndia,India
"One of the world’s top economists has suggested longer lockdowns of up to 12 weeks might be needed to stamp out COVID-19 amid new research that finds jurisdictions that resist tough restrictions won’t be spared economic pain.
https://t.co/W9eZ8xLpsX",australian,"Sydney, Australia"
"UPDATE: Drive-thru COVID-19 is underway at the Orleans hotel-casino. @dylankendricktv explains how the appointment-only testing started off. 

DETAILS: https://t.co/0OeDazERZt https://t.co/gWnTmocmYW",FOX5Vegas,Las Vegas
"#Covid19 | #RealEstate prices won't change or lower down as the property rate are already at the rock-bottom prices, opines Vijay Verma, CEO, Sunworld Group! Read the exclusive interview with @99acresIndia: https://t.co/KEKZlpKnCC

#COVID19 #Coronavirus #Lockdown https://t.co/d9jwvKDTGn",99acresIndia,India
"US President Donald Trump has confirmed the White House coronavirus task force will be winding down, with Vice-President Mike Pence suggesting it could be disbanded within weeks.

https://t.co/UFlHyiba5S",radionz,"Wellington, New Zealand"
"Big name retailers take a hit amid the COVID-19 crisis

https://t.co/LA7b7R4kSv",wxyzdetroit,"Detroit, MI"
The Michigan Mortuary Response Team has been activated for the first time in an effort to help health care facilities and funeral homes in the state with the surge of human remains due to the coronavirus. https://t.co/Nrz5A2hHkC,FOX47News,"Lansing, Michigan"
"A 30-year-old woman from Barangay Mambog, Banga town is the province’s seventh coronavirus disease 2019 (COVID-19) case, according to the Provincial Health Office (PHO).

https://t.co/kTlZNQ4xhF",panaynewsdotnet,"Pavia, Iloilo, Philippines"
"yikes!

https://t.co/AjijBnoyYS",knixcountry,"Phoenix, AZ"
Govt to announce tougher measures to curb spread of Covid-19 https://t.co/MBomcyifAC,Nairobi_News,"Nairobi, Kenya"
"A concerted GOP effort to conceal the truth.

""The state is instead relying on a model from FEMA. This model has not been released to the public.""

Arizona state health department tells university #COVID19 modeling team to stop work, limits data access https://t.co/vIO5kayLzp",Otpor17,
Supreme’s Takashi Murakami T-Shirts Sold Out to Raise $1 Million for Covid-19 Relief As a @HELPUSA board member so thrilled that this partnership  &amp;support to the men women and children who are homeless and in need during this time of need https://t.co/BoEjPjh1vy via @RobbReport,annelk2,New York City 
"RT @tribelaw: FEMA now projects 200,000 new coronavirus cases a day by the end of the month (it’s now about 25,000 new cases a day), and by…",ssmunsell,
"RT @Reuters: Colombia extends COVID-19 lockdown to May 25, additional sectors to start re-opening https://t.co/76WjVE1HW2 https://t.co/i9b0…",Tshey,
"@jackcgarrity @2020WNHS bers of the coronavirus family can make people ill, one of which is the new coronavirus strain SARS-CoV-2, which causes COVID-19.",Schmoooee,
RT @thehill: Trump says Fauci and Birx will still be involved in coronavirus efforts https://t.co/NhGG37p88O https://t.co/zhdh1ICl2r,DalitPOTTA, Callirach  &VanarSena  Area 
"RT @cnni: The virus that causes Covid-19 has been circulating in people since late last year, and must have spread extremely quickly after…",Falcaopods, california
RT @Justsaytruthnow: Coronavirus In Pittsburgh: Researcher Killed In Apparent Murder-Suicide Was Close To Making Very Significant Findings'…,SCcajungirl,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",LotoBoho,"St Paul, MN"
RT @SenWarren: At least 81 Worcester Walmart employees have COVID-19. Now at least 10 Walmart employees in Quincy have COVID-19 too &amp; one w…,namebrandONLY,
"RT @alt_fda: USDA Meat inspectors, you want proper PPE and a safe working environment? #Strike. The processors cannot run without you there…",theReal_Rebel,
RT @kingsfan42700: @vcpublichealth @SBCPublicHealth @lapublichealth you guys doing all of this research should read this. Similar to Lemier…,sanchak74,India
